List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
150,PH 624,Electronics,2 - 1 - 0 - 3,18,Prof. Krushna Mavani,"Prof. Krushna Mavani,",E,1E-506
151,IHS 444,Literature of the Twentieth Century,3 - 0 - 0 - 3,87,Dr. Ananya Ghoshal,"Dr. Ananya Ghoshal,",Y,0
152,MA 680,Computational Techniques,3 - 0 - 2 - 4,12,Dr. Santanu Manna,"Dr. Bapan Ghosh, Dr. Santanu Manna, Dr. Sk. Safique Ahmed,",Y,0
153,ME 413/613,Internal Combustion (IC) Engines,2 - 1 - 0 - 3,9,Dr. Harekrishna Yadav,"Dr. Harekrishna Yadav,",Y,0
154,MSE 724,Thin Films and Devices Fabrications,2 - 1 - 2 - 4,10,Dr. Parasharam M. Shirage,"Dr. Parasharam M. Shirage,",Y,1D-207
155,CH 708,Catalysis: Approaches and Applications,2 - 1 - 0 - 3,20,Dr. Sanjay K. Singh,"Dr. Amrendra Kumar Singh, Dr. Sanjay K. Singh,",Z,SB-209
156,BSE 616,Infectious Diseases and Medical Microbiology,2 - 1 - 0 - 3,8,Prof. Avinash Sonawane,"Dr. Hem Chandra Jha,",Z,SB-314A
157,MA 640,Algebra-I,3 - 1 - 0 - 4,12,Dr. Anand Prakash,"Dr. Anand Prakash,",Z,0
158,IHS 402,Twentieth Century World History: Critical Perspectives,3 - 0 - 0 - 3,172,Dr. C. Upendra,"Dr. C. Upendra,",Z,1B-201
159,ME 650,Materials Characterization Techniques,2 - 0 - 2 - 3,15,Dr. Satyajit Chatterjee,"Dr. Satyajit Chatterjee,",Z,0
160,PH 790,Statistical Methods in Physical Sciences,2 - 1 - 0 - 3,0,Dr. Raghunath Sahoo,"Dr. Raghunath Sahoo,",A,
161,AA 652,Astronomy Laboratory-II,0 - 0 - 8 - 4,Dr. Siddharth S. Malu,Dr. Siddharth S. Malu,"Dr. Abhirup Datta, Dr. Manoneeta Chakraborty, Dr. Siddharth S. Malu, Dr. Suman Majumdar,",,
162,BSE 652,Genetic Engineering Lab,0 - 0 - 6 - 3,Dr. Amit Kumar,Dr. Amit Kumar,"Dr. Amit Kumar,",,
163,CE 254,Fluid Mechanics Lab-II,0 - 0 - 2 - 1,Dr. Kaustav Bakshi,Dr. Kaustav Bakshi,"Dr. Kaustav Bakshi,",,
164,CE 256,Geodesy Laboratory-I,0 - 0 - 3 - 1.5,Dr. Neelima Satyam,Dr. Neelima Satyam,"Dr. Kaustav Bakshi, Dr. Lalit Borana, Dr. Neelima Satyam,",,
165,CE 352,Geodesy Lab-II,0 - 0 - 3 - 1.5,Dr. Mohd. Farooq Azam,Dr. Mohd. Farooq Azam,"Dr. Mohd. Farooq Azam,",,
166,CE 354,Soil Mechanics Laboratory-II,0 - 0 - 2 - 1,Dr. Lalit Borana,Dr. Lalit Borana,"Dr. Lalit Borana,",,
167,CE 358,Design Laboratory II,0 - 0 - 3 - 1.5,Prof. Sandeep Chaudhary,Prof. Sandeep Chaudhary,"Prof. Sandeep Chaudhary,",,
168,CH 700,Advanced Chemistry Lab,0 - 0 - 6 - 3,Dr. Satya S. Bulusu,Dr. Satya S. Bulusu,"Dr. Amrendra Kumar Singh, Dr. Chelvam Venkatesh, Dr. Satya S. Bulusu,",,
169,CS 254,Design and Analysis of Algorithms Lab,0 - 0 - 3 - 1.5,Dr. Kapil Ahuja,Dr. Kapil Ahuja,"Dr. Kapil Ahuja,",,
170,CS 256,Logic Design Lab,0 - 0 - 3 - 1.5,Dr. Anirban Sengupta,Dr. Anirban Sengupta,"Dr. Anirban Sengupta,",,
171,CS 258,Software Engineering Lab,0 - 0 - 3 - 1.5,Dr. Puneet Gupta,Dr. Puneet Gupta,"Dr. Puneet Gupta,",,
172,CS 352,Computer Graphics and Visualization Lab,0 - 0 - 3 - 1.5,Dr. Somnath Dey,Dr. Somnath Dey,"Dr. Somnath Dey,",,
